email,genero,faixa_etaria,escolaridade_categoria,renda_media,profissao_categoria,onde_acompanha_conteudo,nivel_idioma,fala_outro_idioma_categoria,motivo_fluencia_espanhol_categoria,problema_aprender_categoria,investir_portal_vhe,tempo_antes_redes_sociais,fez_curso_espanhol,ouviu_falar_portal_vhe,lancamentos,leadscore_estimado_total,faixa_predita_por_regressao,possivel_comprador_regressivo
lead581@exemplo.com,Feminino,25 - 34,Médio incompleto,De 5.000 a 10.000,Tecnologia,Facebook,Avançado,Inglês Intermediário ou Avançado,Viagem,Falta de disciplina / foco,Sim,<1 mês,Não,Não,L2-25,3009.38,C,False
lead582@exemplo.com,Feminino,35 - 44,Pós-graduação completa,Não tenho renda.,Docência,Instagram,Intermediário,Outros,Trabalho,Falta de disciplina / foco,Não,<1 mês,Não,Não,L2-25,2998.19,C,False
lead583@exemplo.com,Masculino,+55,Médio incompleto,De 5.000 a 10.000,Administrativo,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de prática / escuta,Não,1-3 meses,Não,Sim,L2-25,2546.57,D,False
lead584@exemplo.com,Masculino,18 - 24,Superior incompleto,De 5.000 a 10.000,Tecnologia,YouTube,Perdido,Não Fala Outro Idioma,Pessoal,Falta de curso presencial / professor ao vivo,Não,<1 mês,Não,Não,L2-25,3001.37,C,False
lead585@exemplo.com,Masculino,25 - 34,Pós-graduação completa,De 5.000 a 10.000,Outros,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Pessoal,Outros,Não,1-3 meses,Não,Não,L2-25,2887.5,C,False
lead586@exemplo.com,Masculino,18 - 24,Superior completo,Mais de 10.000,Empreendedorismo,Facebook,Intermediário,Inglês Intermediário ou Avançado,Trabalho,Outros,Não,>6 meses,Não,Sim,L2-25,3044.67,C,False
lead587@exemplo.com,Masculino,+55,Médio completo,Até 1.500,Outros,Facebook,Iniciante (voltando),Não Fala Outro Idioma,Todas Alternativas Acima,Falta de prática / escuta,Sim,1-3 meses,Sim,Sim,L2-25,2709.7,C,False
lead588@exemplo.com,Feminino,+55,Superior incompleto,De 2.500 a 5.000,Empreendedorismo,Não acompanhava,Iniciante (voltando),Não Fala Outro Idioma,Intercâmbio,Nada impede,Sim,>6 meses,Sim,Não,L2-25,3412.2,B,True
lead589@exemplo.com,Feminino,35 - 44,Pós-graduação completa,Até 1.500,Outros,YouTube,Perdido,Não Fala Outro Idioma,Viagem,Outros,Sim,>6 meses,Sim,Não,L2-25,3610.24,B,True
lead590@exemplo.com,Feminino,25 - 34,Médio completo,De 1.500 a 2.500,Docência,Outros,Perdido,Outros,Intercâmbio,Outros,Não,3-6 meses,Não,Sim,L2-25,2565.42,D,False
lead591@exemplo.com,Feminino,25 - 34,Médio incompleto,Até 1.500,Docência,Outros,Intermediário,Não Fala Outro Idioma,Trabalho,Falta de disciplina / foco,Sim,1-3 meses,Sim,Não,L2-25,3286.77,C,False
lead592@exemplo.com,Masculino,+55,Superior incompleto,De 5.000 a 10.000,CLT,Instagram,Perdido,Outros,Pessoal,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Sim,Não,L2-25,2312.29,D,False
lead593@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 5.000 a 10.000,Administrativo,YouTube,Perdido,Inglês Intermediário ou Avançado,Intercâmbio,Falta de curso presencial / professor ao vivo,Sim,1-3 meses,Sim,Sim,L2-25,3343.5,C,False
lead594@exemplo.com,Feminino,+55,Médio completo,Não tenho renda.,Saúde,YouTube,Iniciante (voltando),Inglês Básico,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Não,Sim,L2-25,2447.21,D,False
lead595@exemplo.com,Feminino,44 - 55,Médio incompleto,De 2.500 a 5.000,Empreendedorismo,Facebook,Intermediário,Outros,Viagem,Falta de prática / escuta,Sim,>6 meses,Não,Não,L2-25,2665.71,C,False
lead596@exemplo.com,Masculino,25 - 34,Médio completo,Até 1.500,Saúde,Outros,Iniciante (voltando),Outros,Pessoal,Falta de prática / escuta,Sim,1-3 meses,Não,Sim,L2-25,1919.92,D,False
lead597@exemplo.com,Feminino,35 - 44,Superior completo,De 2.500 a 5.000,Tecnologia,Instagram,Iniciante (voltando),Não Fala Outro Idioma,Intercâmbio,Falta de prática / escuta,Não,1-3 meses,Sim,Não,L2-25,3736.93,B,True
lead598@exemplo.com,Masculino,18 - 24,Médio incompleto,De 5.000 a 10.000,Tecnologia,Facebook,Avançado,Inglês Básico,Pessoal,Falta de prática / escuta,Não,1-3 meses,Sim,Não,L2-25,2157.55,D,False
lead599@exemplo.com,Feminino,18 - 24,Pós-graduação completa,Até 1.500,Administrativo,Facebook,Intermediário,Inglês Intermediário ou Avançado,Trabalho,Falta de prática / escuta,Sim,>6 meses,Sim,Sim,L2-25,3226.48,C,False
lead600@exemplo.com,Feminino,25 - 34,Médio incompleto,Não tenho renda.,Tecnologia,Facebook,Avançado,Inglês Básico,Viagem,Falta de prática / escuta,Não,3-6 meses,Não,Sim,L2-25,2355.51,D,False
lead601@exemplo.com,Feminino,44 - 55,Fundamental completo,De 1.500 a 2.500,Vendas,Outros,Iniciante (voltando),Inglês Básico,Intercâmbio,Falta de disciplina / foco,Não,<1 mês,Não,Não,L2-25,2594.0,D,False
lead602@exemplo.com,Feminino,35 - 44,Fundamental completo,De 2.500 a 5.000,Tecnologia,Instagram,Intermediário,Outros,Intercâmbio,Falta de disciplina / foco,Sim,3-6 meses,Não,Não,L2-25,2749.8,C,False
lead603@exemplo.com,Masculino,+55,Fundamental completo,Mais de 10.000,Vendas,Instagram,Intermediário,Inglês Intermediário ou Avançado,Viagem,Falta de prática / escuta,Sim,<1 mês,Sim,Não,L2-25,3032.18,C,False
lead604@exemplo.com,Feminino,44 - 55,Fundamental completo,Mais de 10.000,CLT,Não acompanhava,Iniciante (voltando),Não Fala Outro Idioma,Viagem,Falta de curso presencial / professor ao vivo,Sim,>6 meses,Sim,Sim,L2-25,3858.83,B,True
lead605@exemplo.com,Masculino,44 - 55,Superior completo,De 2.500 a 5.000,Saúde,YouTube,Iniciante (voltando),Inglês Básico,Todas Alternativas Acima,Falta de prática / escuta,Não,3-6 meses,Não,Sim,L2-25,2368.76,D,False
lead606@exemplo.com,Masculino,35 - 44,Superior completo,De 2.500 a 5.000,Tecnologia,YouTube,Intermediário,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de disciplina / foco,Não,3-6 meses,Sim,Não,L2-25,3187.73,C,False
lead607@exemplo.com,Masculino,+55,Fundamental completo,Mais de 10.000,Docência,Instagram,Iniciante (voltando),Não Fala Outro Idioma,Todas Alternativas Acima,Falta de disciplina / foco,Não,3-6 meses,Não,Sim,L2-25,3481.66,B,True
lead608@exemplo.com,Feminino,35 - 44,Superior completo,De 1.500 a 2.500,Outros,Facebook,Intermediário,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de prática / escuta,Sim,1-3 meses,Não,Não,L2-25,3677.98,B,True
lead609@exemplo.com,Feminino,+55,Superior incompleto,Até 1.500,Empreendedorismo,Outros,Iniciante (voltando),Inglês Básico,Viagem,Falta de curso presencial / professor ao vivo,Sim,>6 meses,Não,Sim,L2-25,2292.46,D,False
lead610@exemplo.com,Masculino,25 - 34,Médio incompleto,Mais de 10.000,Empreendedorismo,Não acompanhava,Iniciante (voltando),Outros,Viagem,Falta de disciplina / foco,Sim,3-6 meses,Não,Sim,L2-25,2656.08,C,False
lead611@exemplo.com,Feminino,44 - 55,Pós-graduação completa,Não tenho renda.,Outros,Outros,Intermediário,Inglês Intermediário ou Avançado,Trabalho,Falta de disciplina / foco,Não,>6 meses,Não,Não,L2-25,3123.21,C,False
lead612@exemplo.com,Masculino,35 - 44,Pós-graduação completa,Até 1.500,Vendas,Facebook,Avançado,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Sim,Não,L2-25,2934.9,C,False
lead613@exemplo.com,Masculino,35 - 44,Médio incompleto,De 2.500 a 5.000,Docência,Instagram,Intermediário,Inglês Intermediário ou Avançado,Pessoal,Falta de prática / escuta,Sim,1-3 meses,Não,Sim,L2-25,2605.4,D,False
lead614@exemplo.com,Masculino,25 - 34,Superior completo,Mais de 10.000,Saúde,Facebook,Iniciante (voltando),Inglês Intermediário ou Avançado,Trabalho,Nada impede,Não,1-3 meses,Sim,Sim,L2-25,3199.74,C,False
lead615@exemplo.com,Masculino,44 - 55,Médio incompleto,De 2.500 a 5.000,Outros,YouTube,Avançado,Inglês Básico,Todas Alternativas Acima,Nada impede,Não,3-6 meses,Não,Não,L2-25,2174.29,D,False
lead616@exemplo.com,Masculino,25 - 34,Superior incompleto,Não tenho renda.,Docência,Facebook,Avançado,Outros,Pessoal,Outros,Sim,1-3 meses,Sim,Não,L2-25,2069.9,D,False
lead617@exemplo.com,Feminino,25 - 34,Médio completo,De 2.500 a 5.000,Empreendedorismo,Outros,Avançado,Inglês Básico,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Sim,Sim,L2-25,2693.74,C,False
lead618@exemplo.com,Feminino,25 - 34,Superior completo,Até 1.500,Saúde,YouTube,Avançado,Não Fala Outro Idioma,Pessoal,Nada impede,Não,1-3 meses,Não,Sim,L2-25,3525.8,B,True
lead619@exemplo.com,Masculino,18 - 24,Superior incompleto,Mais de 10.000,Tecnologia,YouTube,Intermediário,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de disciplina / foco,Não,<1 mês,Sim,Não,L2-25,3441.93,B,True
lead620@exemplo.com,Feminino,35 - 44,Médio incompleto,De 5.000 a 10.000,Outros,Instagram,Avançado,Não Fala Outro Idioma,Viagem,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Sim,Sim,L2-25,3741.37,B,True
lead621@exemplo.com,Masculino,35 - 44,Médio incompleto,De 5.000 a 10.000,Outros,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Não,Não,L2-25,2684.65,C,False
lead622@exemplo.com,Masculino,+55,Fundamental completo,De 2.500 a 5.000,Saúde,Facebook,Intermediário,Inglês Intermediário ou Avançado,Trabalho,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Sim,Não,L2-25,2553.89,D,False
lead623@exemplo.com,Feminino,+55,Superior completo,Mais de 10.000,CLT,Instagram,Intermediário,Outros,Viagem,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Sim,Não,L2-25,3174.6,C,False
lead624@exemplo.com,Masculino,44 - 55,Médio incompleto,De 1.500 a 2.500,Empreendedorismo,Outros,Iniciante (voltando),Não Fala Outro Idioma,Todas Alternativas Acima,Falta de prática / escuta,Sim,>6 meses,Sim,Sim,L2-25,2813.92,C,False
lead625@exemplo.com,Masculino,18 - 24,Superior completo,Mais de 10.000,Saúde,YouTube,Avançado,Inglês Intermediário ou Avançado,Intercâmbio,Falta de disciplina / foco,Sim,>6 meses,Sim,Sim,L2-25,2963.21,C,False
lead626@exemplo.com,Masculino,+55,Superior completo,Não tenho renda.,Docência,Outros,Perdido,Inglês Básico,Trabalho,Falta de disciplina / foco,Sim,3-6 meses,Sim,Não,L2-25,2122.37,D,False
lead627@exemplo.com,Feminino,+55,Fundamental completo,Mais de 10.000,Saúde,Instagram,Intermediário,Não Fala Outro Idioma,Intercâmbio,Falta de disciplina / foco,Sim,<1 mês,Sim,Não,L2-25,3960.22,B,True
lead628@exemplo.com,Feminino,35 - 44,Superior completo,De 2.500 a 5.000,Empreendedorismo,YouTube,Perdido,Inglês Básico,Trabalho,Falta de prática / escuta,Não,<1 mês,Não,Não,L2-25,2793.05,C,False
lead629@exemplo.com,Feminino,35 - 44,Pós-graduação completa,De 2.500 a 5.000,Administrativo,Outros,Avançado,Inglês Básico,Intercâmbio,Nada impede,Sim,1-3 meses,Sim,Não,L2-25,3152.12,C,False
lead630@exemplo.com,Masculino,35 - 44,Médio incompleto,De 5.000 a 10.000,Docência,Outros,Iniciante (voltando),Outros,Pessoal,Falta de prática / escuta,Não,>6 meses,Não,Sim,L2-25,2379.72,D,False
lead631@exemplo.com,Feminino,+55,Médio incompleto,Não tenho renda.,Saúde,Instagram,Iniciante (voltando),Inglês Básico,Trabalho,Falta de disciplina / foco,Sim,3-6 meses,Sim,Sim,L2-25,2343.14,D,False
lead632@exemplo.com,Masculino,+55,Médio incompleto,De 5.000 a 10.000,Saúde,YouTube,Avançado,Inglês Intermediário ou Avançado,Pessoal,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Não,Não,L2-25,2560.91,D,False
lead633@exemplo.com,Feminino,+55,Superior completo,Até 1.500,CLT,YouTube,Perdido,Inglês Básico,Pessoal,Nada impede,Não,3-6 meses,Não,Sim,L2-25,2552.4,D,False
lead634@exemplo.com,Feminino,44 - 55,Médio completo,Até 1.500,Saúde,Instagram,Perdido,Não Fala Outro Idioma,Viagem,Nada impede,Sim,3-6 meses,Sim,Não,L2-25,3406.09,C,False
lead635@exemplo.com,Masculino,+55,Médio completo,Até 1.500,Saúde,Facebook,Intermediário,Outros,Viagem,Nada impede,Não,>6 meses,Sim,Não,L2-25,2084.29,D,False
lead636@exemplo.com,Masculino,+55,Pós-graduação completa,De 1.500 a 2.500,Empreendedorismo,YouTube,Intermediário,Outros,Intercâmbio,Falta de prática / escuta,Sim,1-3 meses,Sim,Sim,L2-25,2493.08,D,False
lead637@exemplo.com,Masculino,25 - 34,Fundamental completo,Não tenho renda.,Empreendedorismo,Outros,Intermediário,Inglês Básico,Intercâmbio,Nada impede,Não,3-6 meses,Sim,Não,L2-25,2139.97,D,False
lead638@exemplo.com,Feminino,18 - 24,Fundamental completo,Mais de 10.000,Empreendedorismo,Instagram,Iniciante (voltando),Outros,Pessoal,Falta de disciplina / foco,Não,3-6 meses,Sim,Sim,L2-25,2888.03,C,False
lead639@exemplo.com,Feminino,35 - 44,Superior completo,De 2.500 a 5.000,Outros,Outros,Perdido,Outros,Todas Alternativas Acima,Falta de prática / escuta,Sim,>6 meses,Não,Sim,L2-25,2785.65,C,False
lead640@exemplo.com,Feminino,35 - 44,Superior incompleto,De 2.500 a 5.000,Vendas,Facebook,Perdido,Outros,Pessoal,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Não,Não,L2-25,2612.57,D,False
lead641@exemplo.com,Feminino,25 - 34,Superior incompleto,De 2.500 a 5.000,Tecnologia,YouTube,Perdido,Outros,Pessoal,Nada impede,Sim,3-6 meses,Sim,Sim,L2-25,2645.39,D,False
lead642@exemplo.com,Masculino,44 - 55,Pós-graduação completa,Até 1.500,Docência,Não acompanhava,Intermediário,Inglês Básico,Intercâmbio,Falta de disciplina / foco,Não,1-3 meses,Não,Não,L2-25,2356.01,D,False
lead643@exemplo.com,Feminino,35 - 44,Médio completo,Até 1.500,Vendas,Instagram,Perdido,Outros,Todas Alternativas Acima,Falta de prática / escuta,Sim,3-6 meses,Não,Não,L2-25,2485.24,D,False
lead644@exemplo.com,Feminino,+55,Fundamental completo,De 5.000 a 10.000,Docência,YouTube,Iniciante (voltando),Outros,Trabalho,Falta de prática / escuta,Sim,<1 mês,Não,Não,L2-25,2753.1,C,False
lead645@exemplo.com,Masculino,44 - 55,Médio completo,De 2.500 a 5.000,Docência,Facebook,Avançado,Inglês Intermediário ou Avançado,Viagem,Outros,Não,1-3 meses,Não,Sim,L2-25,2535.44,D,False
lead646@exemplo.com,Feminino,35 - 44,Superior completo,Mais de 10.000,Empreendedorismo,YouTube,Avançado,Outros,Todas Alternativas Acima,Falta de prática / escuta,Não,>6 meses,Não,Sim,L2-25,3177.2,C,False
lead647@exemplo.com,Masculino,35 - 44,Superior incompleto,Mais de 10.000,Tecnologia,Facebook,Intermediário,Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Não,1-3 meses,Não,Não,L2-25,2850.92,C,False
lead648@exemplo.com,Masculino,25 - 34,Superior completo,De 1.500 a 2.500,Empreendedorismo,Instagram,Iniciante (voltando),Outros,Intercâmbio,Falta de disciplina / foco,Sim,>6 meses,Não,Não,L2-25,2251.78,D,False
lead649@exemplo.com,Feminino,+55,Superior completo,De 1.500 a 2.500,Empreendedorismo,Facebook,Intermediário,Inglês Básico,Viagem,Falta de curso presencial / professor ao vivo,Sim,>6 meses,Sim,Não,L2-25,2747.71,C,False
lead650@exemplo.com,Masculino,44 - 55,Médio completo,Mais de 10.000,Administrativo,Instagram,Avançado,Outros,Trabalho,Outros,Sim,1-3 meses,Não,Não,L2-25,2802.71,C,False
lead651@exemplo.com,Masculino,35 - 44,Médio incompleto,De 5.000 a 10.000,Outros,YouTube,Perdido,Inglês Intermediário ou Avançado,Trabalho,Falta de prática / escuta,Sim,1-3 meses,Não,Não,L2-25,2633.92,D,False
lead652@exemplo.com,Feminino,+55,Superior completo,De 2.500 a 5.000,Empreendedorismo,Facebook,Iniciante (voltando),Inglês Intermediário ou Avançado,Todas Alternativas Acima,Outros,Sim,>6 meses,Não,Não,L2-25,3024.42,C,False
lead653@exemplo.com,Masculino,18 - 24,Médio incompleto,Mais de 10.000,Vendas,YouTube,Avançado,Outros,Todas Alternativas Acima,Outros,Não,3-6 meses,Não,Não,L2-25,2567.2,D,False
lead654@exemplo.com,Feminino,18 - 24,Superior completo,De 1.500 a 2.500,Docência,Outros,Perdido,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de prática / escuta,Não,3-6 meses,Não,Não,L2-25,3420.35,B,True
lead655@exemplo.com,Feminino,+55,Fundamental completo,Mais de 10.000,Tecnologia,Facebook,Avançado,Outros,Viagem,Falta de curso presencial / professor ao vivo,Não,<1 mês,Não,Não,L2-25,2985.62,C,False
lead656@exemplo.com,Feminino,18 - 24,Fundamental completo,Mais de 10.000,Vendas,Não acompanhava,Iniciante (voltando),Inglês Básico,Intercâmbio,Nada impede,Sim,3-6 meses,Não,Sim,L2-25,2636.28,D,False
lead657@exemplo.com,Masculino,25 - 34,Médio completo,De 5.000 a 10.000,Tecnologia,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Intercâmbio,Nada impede,Não,<1 mês,Sim,Sim,L2-25,2551.07,D,False
lead658@exemplo.com,Masculino,+55,Superior completo,De 2.500 a 5.000,Tecnologia,Facebook,Iniciante (voltando),Inglês Intermediário ou Avançado,Pessoal,Falta de disciplina / foco,Sim,1-3 meses,Sim,Sim,L2-25,2589.21,D,False
lead659@exemplo.com,Masculino,18 - 24,Superior completo,De 5.000 a 10.000,Administrativo,Instagram,Perdido,Outros,Trabalho,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Sim,Sim,L2-25,2422.11,D,False
lead660@exemplo.com,Masculino,+55,Médio completo,De 2.500 a 5.000,Vendas,Facebook,Avançado,Inglês Básico,Trabalho,Falta de prática / escuta,Sim,1-3 meses,Não,Não,L2-25,2145.59,D,False
lead661@exemplo.com,Masculino,44 - 55,Pós-graduação completa,Mais de 10.000,Vendas,Instagram,Avançado,Inglês Intermediário ou Avançado,Intercâmbio,Falta de prática / escuta,Não,1-3 meses,Sim,Não,L2-25,3285.28,C,False
lead662@exemplo.com,Feminino,18 - 24,Pós-graduação completa,De 5.000 a 10.000,CLT,Outros,Perdido,Inglês Básico,Pessoal,Falta de disciplina / foco,Sim,<1 mês,Sim,Não,L2-25,3126.58,C,False
lead663@exemplo.com,Feminino,+55,Superior completo,Mais de 10.000,Docência,Facebook,Iniciante (voltando),Não Fala Outro Idioma,Trabalho,Falta de prática / escuta,Sim,>6 meses,Sim,Sim,L2-25,4057.26,B,True
lead664@exemplo.com,Feminino,+55,Superior incompleto,De 5.000 a 10.000,Empreendedorismo,Facebook,Perdido,Outros,Todas Alternativas Acima,Outros,Não,<1 mês,Não,Não,L2-25,2615.19,D,False
lead665@exemplo.com,Feminino,44 - 55,Médio incompleto,Não tenho renda.,Outros,Instagram,Perdido,Não Fala Outro Idioma,Viagem,Outros,Sim,<1 mês,Não,Sim,L2-25,3116.19,C,False
lead666@exemplo.com,Masculino,44 - 55,Superior incompleto,Mais de 10.000,Empreendedorismo,Outros,Avançado,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Sim,Sim,L2-25,3533.51,B,True
lead667@exemplo.com,Masculino,44 - 55,Fundamental completo,De 2.500 a 5.000,Vendas,Outros,Avançado,Inglês Intermediário ou Avançado,Pessoal,Outros,Não,1-3 meses,Sim,Sim,L2-25,2535.44,D,False
lead668@exemplo.com,Masculino,+55,Fundamental completo,De 5.000 a 10.000,Outros,Não acompanhava,Iniciante (voltando),Inglês Intermediário ou Avançado,Intercâmbio,Nada impede,Sim,3-6 meses,Não,Sim,L2-25,2489.8,D,False
lead669@exemplo.com,Masculino,25 - 34,Pós-graduação completa,De 5.000 a 10.000,Docência,Outros,Perdido,Inglês Básico,Trabalho,Nada impede,Sim,3-6 meses,Sim,Não,L2-25,2743.95,C,False
lead670@exemplo.com,Feminino,44 - 55,Superior completo,Até 1.500,Tecnologia,Facebook,Perdido,Inglês Intermediário ou Avançado,Trabalho,Falta de prática / escuta,Sim,1-3 meses,Sim,Sim,L2-25,2845.34,C,False
lead671@exemplo.com,Masculino,+55,Superior completo,Até 1.500,Outros,Outros,Intermediário,Não Fala Outro Idioma,Intercâmbio,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Não,Não,L2-25,2746.93,C,False
lead672@exemplo.com,Masculino,+55,Pós-graduação completa,Não tenho renda.,Tecnologia,YouTube,Avançado,Outros,Viagem,Outros,Sim,3-6 meses,Sim,Não,L2-25,2326.43,D,False
lead673@exemplo.com,Masculino,44 - 55,Médio incompleto,Mais de 10.000,Vendas,Não acompanhava,Intermediário,Não Fala Outro Idioma,Viagem,Falta de prática / escuta,Sim,<1 mês,Sim,Sim,L2-25,3400.11,C,False
lead674@exemplo.com,Masculino,25 - 34,Fundamental completo,Mais de 10.000,Tecnologia,Facebook,Iniciante (voltando),Não Fala Outro Idioma,Viagem,Falta de prática / escuta,Sim,>6 meses,Sim,Não,L2-25,3560.86,B,True
lead675@exemplo.com,Masculino,25 - 34,Superior incompleto,Mais de 10.000,Tecnologia,Não acompanhava,Iniciante (voltando),Inglês Intermediário ou Avançado,Trabalho,Falta de prática / escuta,Não,>6 meses,Sim,Não,L2-25,2923.76,C,False
lead676@exemplo.com,Masculino,44 - 55,Pós-graduação completa,De 1.500 a 2.500,CLT,Não acompanhava,Perdido,Outros,Viagem,Falta de disciplina / foco,Sim,1-3 meses,Não,Sim,L2-25,2404.98,D,False
lead677@exemplo.com,Feminino,44 - 55,Fundamental completo,De 5.000 a 10.000,Tecnologia,Não acompanhava,Iniciante (voltando),Outros,Viagem,Falta de disciplina / foco,Não,>6 meses,Sim,Sim,L2-25,2661.77,C,False
lead678@exemplo.com,Masculino,+55,Fundamental completo,Até 1.500,Empreendedorismo,Instagram,Intermediário,Outros,Viagem,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Sim,Sim,L2-25,2014.99,D,False
lead679@exemplo.com,Masculino,44 - 55,Superior completo,De 2.500 a 5.000,Tecnologia,Não acompanhava,Iniciante (voltando),Inglês Básico,Pessoal,Falta de prática / escuta,Sim,3-6 meses,Sim,Não,L2-25,2264.38,D,False
lead680@exemplo.com,Masculino,18 - 24,Médio incompleto,Mais de 10.000,Saúde,Facebook,Avançado,Inglês Básico,Trabalho,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Sim,Não,L2-25,2590.37,D,False
lead681@exemplo.com,Masculino,+55,Pós-graduação completa,Mais de 10.000,Empreendedorismo,Instagram,Intermediário,Não Fala Outro Idioma,Pessoal,Falta de curso presencial / professor ao vivo,Sim,<1 mês,Sim,Não,L2-25,3741.06,B,True
lead682@exemplo.com,Masculino,35 - 44,Superior incompleto,Não tenho renda.,Docência,Instagram,Intermediário,Inglês Básico,Trabalho,Outros,Sim,3-6 meses,Não,Não,L2-25,2136.4,D,False
lead683@exemplo.com,Masculino,25 - 34,Fundamental completo,De 2.500 a 5.000,Docência,Facebook,Perdido,Inglês Básico,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Não,Sim,L2-25,2219.75,D,False
lead684@exemplo.com,Feminino,44 - 55,Médio completo,De 1.500 a 2.500,Outros,Não acompanhava,Intermediário,Inglês Intermediário ou Avançado,Viagem,Falta de curso presencial / professor ao vivo,Não,3-6 meses,Sim,Sim,L2-25,2841.83,C,False
lead685@exemplo.com,Masculino,44 - 55,Superior incompleto,De 5.000 a 10.000,Outros,Não acompanhava,Intermediário,Inglês Básico,Pessoal,Falta de curso presencial / professor ao vivo,Sim,3-6 meses,Sim,Sim,L2-25,2375.61,D,False
lead686@exemplo.com,Masculino,+55,Pós-graduação completa,De 1.500 a 2.500,Empreendedorismo,Outros,Avançado,Inglês Básico,Trabalho,Outros,Não,1-3 meses,Não,Sim,L2-25,2396.32,D,False
lead687@exemplo.com,Masculino,35 - 44,Médio completo,Não tenho renda.,Tecnologia,Instagram,Perdido,Inglês Intermediário ou Avançado,Pessoal,Nada impede,Não,1-3 meses,Sim,Não,L2-25,2360.61,D,False
lead688@exemplo.com,Feminino,+55,Fundamental completo,De 5.000 a 10.000,Saúde,Não acompanhava,Perdido,Não Fala Outro Idioma,Viagem,Falta de disciplina / foco,Não,3-6 meses,Sim,Não,L2-25,3627.83,B,True
lead689@exemplo.com,Masculino,18 - 24,Fundamental completo,Até 1.500,Vendas,Facebook,Intermediário,Inglês Intermediário ou Avançado,Trabalho,Falta de disciplina / foco,Não,3-6 meses,Não,Não,L2-25,2293.21,D,False
lead690@exemplo.com,Feminino,44 - 55,Superior completo,De 1.500 a 2.500,Vendas,Facebook,Perdido,Não Fala Outro Idioma,Todas Alternativas Acima,Falta de curso presencial / professor ao vivo,Não,>6 meses,Não,Não,L2-25,3582.14,B,True
lead691@exemplo.com,Masculino,+55,Superior incompleto,De 2.500 a 5.000,Tecnologia,Instagram,Iniciante (voltando),Inglês Intermediário ou Avançado,Pessoal,Falta de disciplina / foco,Sim,>6 meses,Sim,Sim,L2-25,2502.75,D,False
lead692@exemplo.com,Feminino,+55,Fundamental completo,Não tenho renda.,CLT,Não acompanhava,Perdido,Inglês Intermediário ou Avançado,Todas Alternativas Acima,Outros,Sim,3-6 meses,Sim,Sim,L2-25,2542.75,D,False
lead693@exemplo.com,Feminino,35 - 44,Médio completo,De 5.000 a 10.000,Vendas,Facebook,Avançado,Inglês Básico,Viagem,Nada impede,Não,>6 meses,Não,Sim,L2-25,2762.38,C,False
lead694@exemplo.com,Feminino,35 - 44,Superior incompleto,De 2.500 a 5.000,CLT,Facebook,Iniciante (voltando),Inglês Básico,Intercâmbio,Outros,Não,1-3 meses,Sim,Não,L2-25,2638.6,D,False
lead695@exemplo.com,Feminino,44 - 55,Superior completo,Não tenho renda.,Saúde,Não acompanhava,Iniciante (voltando),Inglês Intermediário ou Avançado,Trabalho,Falta de disciplina / foco,Sim,>6 meses,Não,Sim,L2-25,2796.78,C,False
lead696@exemplo.com,Masculino,25 - 34,Médio incompleto,De 1.500 a 2.500,Tecnologia,Outros,Intermediário,Outros,Trabalho,Outros,Não,>6 meses,Sim,Sim,L2-25,2177.58,D,False
lead697@exemplo.com,Feminino,25 - 34,Superior completo,De 5.000 a 10.000,Empreendedorismo,Facebook,Perdido,Inglês Intermediário ou Avançado,Intercâmbio,Falta de curso presencial / professor ao vivo,Não,<1 mês,Sim,Sim,L2-25,3185.26,C,False
lead698@exemplo.com,Masculino,+55,Médio completo,De 2.500 a 5.000,Empreendedorismo,Outros,Iniciante (voltando),Outros,Pessoal,Falta de disciplina / foco,Sim,>6 meses,Não,Sim,L2-25,2183.77,D,False
